date,通常物数
2023/7/12,39000
2023/7/13,45000
2023/7/14,55000
2023/7/15,0
2023/7/16,0
2023/7/17,0
2023/7/18,125000
2023/7/19,29000
2023/7/20,56000
2023/7/21,42000
2023/7/22,0
2023/7/23,0
2023/7/24,89000
2023/7/25,36000
2023/7/26,39000
2023/7/27,42000
2023/7/28,44000
2023/7/29,0
2023/7/30,0
2023/7/31,79000
2023/8/1,33000
2023/8/2,45000
2023/8/3,50000
2023/8/4,49000
2023/8/5,0
2023/8/6,0
2023/8/7,88000
2023/8/8,45000
2023/8/9,45000
2023/8/10,53000
2023/8/11,0
2023/8/12,0
2023/8/13,0
2023/8/14,75000
2023/8/15,26000
2023/8/16,29000
2023/8/17,35000
2023/8/18,40000
2023/8/19,0
2023/8/20,0
2023/8/21,95000
2023/8/22,49000
2023/8/23,54000
2023/8/24,55000
2023/8/25,60000
2023/8/26,0
2023/8/27,0
2023/8/28,89000
2023/8/29,42000
2023/8/30,51000
2023/8/31,49000
2023/9/1,46000
2023/9/2,0
2023/9/3,0
2023/9/4,88000
2023/9/5,37000
2023/9/6,39000
2023/9/7,43000
2023/9/8,49000
2023/9/9,0
2023/9/10,0
2023/9/11,84000
2023/9/12,46000
2023/9/13,45000
2023/9/14,52000
2023/9/15,53000
2023/9/16,0
2023/9/17,0
2023/9/18,0
2023/9/19,143000
2023/9/20,29000
2023/9/21,38000
2023/9/22,42000
2023/9/23,0
2023/9/24,0
2023/9/25,89000
2023/9/26,40000
2023/9/27,44000
2023/9/28,61000
2023/9/29,58000
2023/9/30,0
2023/10/1,0
2023/10/2,92000
2023/10/3,37000
2023/10/4,41000
2023/10/5,46000
2023/10/6,52000
2023/10/7,0
2023/10/8,0
2023/10/9,0
2023/10/10,139000
2023/10/11,46000
2023/10/12,56000
2023/10/13,58000
2023/10/14,0
2023/10/15,0
2023/10/16,90000
2023/10/17,38000
2023/10/18,43000
2023/10/19,45000
2023/10/20,48000
2023/10/21,0
2023/10/22,0
2023/10/23,87000
2023/10/24,41000
2023/10/25,46000
2023/10/26,62000
2023/10/27,60000
2023/10/28,0
2023/10/29,0
2023/10/30,88000
2023/10/31,55000
2023/11/1,53000
2023/11/2,49000
2023/11/3,0
2023/11/4,0
2023/11/5,0
2023/11/6,136000
2023/11/7,39000
2023/11/8,41000
2023/11/9,50000
2023/11/10,48000
2023/11/11,0
2023/11/12,0
2023/11/13,86000
2023/11/14,44000
2023/11/15,45000
2023/11/16,51000
2023/11/17,50000
2023/11/18,0
2023/11/19,0
2023/11/20,92000
2023/11/21,37000
2023/11/22,49000
2023/11/23,0
2023/11/24,108000
2023/11/25,0
2023/11/26,0
2023/11/27,95000
2023/11/28,44000
2023/11/29,49000
2023/11/30,55000
2023/12/1,54000
2023/12/2,0
2023/12/3,0
2023/12/4,89000
2023/12/5,39000
2023/12/6,46000
2023/12/7,58000
2023/12/8,63000
2023/12/9,0
2023/12/10,0
2023/12/11,88000
2023/12/12,42000
2023/12/13,51000
2023/12/14,59000
2023/12/15,50000
2023/12/16,0
2023/12/17,0
2023/12/18,87000
2023/12/19,42000
2023/12/20,53000
2023/12/21,56000
2023/12/22,62000
2023/12/23,0
2023/12/24,0
2023/12/25,78000
2023/12/26,38000
2023/12/27,43000
2023/12/28,56000
2023/12/29,48000
2023/12/30,0
2023/12/31,0
2024/1/1,35000
2024/1/2,0
2024/1/3,20000
2024/1/4,22000
2024/1/5,31000
2024/1/6,0
2024/1/7,0
2024/1/8,0
2024/1/9,45000
2024/1/10,36000
2024/1/11,38000
2024/1/12,34000
2024/1/13,0
2024/1/14,0
2024/1/15,79000
